1,"Abbate, Luigi",Swallows,ms copy 1991 ,"cl, hrn-bsst",score ,,ICA,5279,,,,,,Solo,,Solos
2,"Aberdam, Eliane ",Toile D'Araignee ,E. Aberdam c1993 ,"cl, vcl, pno ","score, 3 parts",1994 ICA Composition Contest entry. ,ICA,2369,,,,,,Trio,,ICA Composition ContestTrios
3,"Abrahamsen, Hans ",Winternacht (arranged for 7 instruments) ,Copenhagen: Wilhelm Hansen c1981 ,"fl, cl, tpt, hrn, pno, vln, vcl ",score (34 pp.) ,,ICA,1718,12:30,,,,,Septet,,SeptetsChamber
4,"Absenger, Max ",Vortragsstück for Clarinet in A and Piano ,Leipzig: Breitkopf & Härtel c1905 ,"cl-a, pno ","score (7 pp.), part ",,ICA,1,,,,,,Duet,Y,Duets
5,"Absil, Jean ",Fantasie-Humoresque ,Paris: Alphonse Leduc c1963 ,"cl, pno ","score (11 pp.), part ",,ICA,2427,,,,,,Duet,,Duets
6,"Absil, Jean ","Quatuor, Op. 132 ","Paris: Lemoine, c1968 ","cl-sop, cl(2), cl-bs ","score (20 pp.), 4 parts ",,ICA,2925,,,,,,Quartet,,Clarinet ChoirQuartets
7,"Absil, Jean ","Quintet pour Instruments à Vent, Op. 16 ",Brussels: CeBeDeM c1969 ,"fl, ob, cl, hrn, bsn ","score (28 pp.- miniature), 5 parts ",Dur: 11:00 ,ICA,3,,,,,,Quintet,,Quintets
8,"Achron, Joseph ","Kindersuite, Op. 57 für 2 Violinen, Viola, Violoncello, Klarinette und Klavier ",Wien: Universal c1928 ,"cl, vln(2), vla, vcl, pno ","score (51 pp.), 5 parts ",,ICA,4,,,,,,Sextet,,Sextets
9,"Acker, Dieter ","Attitudes, Sextet for 2 Clarinets, 2 Horns, 2 Bassoons (1968/71) ",Köln: Hans Geri c1976 ,"cl(2), hrn(2), bsn(2) ",score (16 pp.) ,,ICA,5,,,,,,Sextet,,Sextets
10,"Adayevskaya, Ella Georgiyevna",Griechische Sonate (Sonata Greca) ,Köln: Tischer & Jagenberg c1913 ,"cl, pno ","score (28 pp.), part ",second copy from Jerry Pierce Collection. 3rd copy from Don McGinnis Collection. ,ICA,6,,,,,,Solo,Y,Solos
11,"Adamski, Lee ",Feelin' Fine ,"Delaware Water Gap, PA: Shawnee c1977 ","cl, pno ","score (4 pp.), 2 parts ",,ICA,7,,,,,,,,
12,"Adamski, Lee ",A Stick of Licorice ,"Delaware Water Gap, PA: Shawnee c1977 ","cl, pno ","score (4 pp.), part ","First or second year player, dur: 1:50. ",ICA,8,,,,,,,,
13,"Adler, Samuel ",Music for Eleven ,NY: Oxford University Press c1968 ,"fl(2), ob, cl, cl-bs, bsn, perc ","score, 11 parts ","Second copy in Sidney Forrest collection, score only. GraceC",ICA,2237,,,,,,Septet,,Wind Ensemble
14,"Adler, Samuel ",Harobed: 7 Studies for Clarinet Alone ,"San Antonio, TX: Southern c1972 ",cl ,score (7 pp.) ,,ICA,9,,,,,,,,Studies/Method
15,"Aegler, Gottfried ","24 Ländlerperlen, Ausgabe Nr. 1 ",Schweiz: Musikverlag Gottfried Aegler ,cl | sax | accord ,score (24 pp.) ,,ICA,4613,,,,,,,,
16,"Aegler, Gottfried and German Studer-Freuler","24 Ländlerperlen, Ausgabe Nr. 2 ",Schweiz: Musikverlag Gottfried Aegler c1971 ,cl | sax | accord ,score (24 pp.) ,,ICA,4614,,,,,,,,
17,"Aegler, Gottfried and German Studer-Freuler","15 Ländlerperlen, Ausgabe Nr. 3 ",Schweiz: Musikverlag Gottfried Aegler ,cl | sax | accord ,score (15 pp.) ,,ICA,4615,,,,,,,,
18,"Agnes, Szendi ",Frost Work ,S. Agnes 1996 ,"cl(2), pno ","score (32 pp.), 2 parts ","1996 ICA Composition Contest entry, cassette available. ",ICA,5823,,,,,,,,ICA Composition ContestRecording Available
19,"Agostini, Lucio ",Trio Quebecois ,"Willowdale, ONT: Boosey & Hawkes c1970 ",cl(3) ,3 parts ,Second copy in Sidney Forrest collection. GraceC,ICA,3995,,,,,,Trio,,Clarinet ChoirTrios
20,"Aitken, Hugh ",Suite ,Philadelphia: Elkan-Vogel c1965 ,cl ,score (4 pp.) ,3 copies. Third copy donated by Barbara DumanMP,ICA,3932,,,,,,Solo,,Solos
21,"Aitken, Hugh ",Quartet ,ms copy 1959 ,"cl, vln, vla, vcl ",4 parts ,,ICA,4227,20:00,,,,,Quartet,,Quartets
22,"Ajdič, Alojz ",Solo de Concours for Clarinet and Piano (1973) ,"Ljubljana, Yugoslavia: Drustva slovenskih skladateljev c1975 ","cl, pno ","score (47 pp.), part ",,ICA,10,,,,,,,,
23,"Aladov, N. (Nikolaĭ)","Sonata, Op. 67, No. 3 ",Moscow: State Publishing House c1971 ,"cl, pno ","score (47 pp.), part ",,ICA,11,,,,,,,,
24,"Albéniz, Isaac ",Two Pieces from España ,London: Oxford University Press c1979 ,"cl(2), pno ","score (15 pp.), part ",Arr. for 2 cl by Alan Frank. Second copy in Sidney Forrest collection. GraceC,ICA,12,,,,,,Duet,,
25,"Albinoni, Tomaso","Concert in d moll, Op. 9, No. 2 ","Wormerveer, Holland: Molenaar c1966 ","cl, pno ","score (18 pp.), part ",Arr: Ber Joosen ,ICA,3136,,,,,,,,
26,"Albisi, Abelardo ",Miniature Suite No. 2 ,Boston: Cundy-Bettoney c1939 ,"fl, cl(2) ",3 parts ,,ICA,3980,,,,,,,,
27,"Albright, William ",Seven Deadly Sins ,NY: C. F. Peters c1979 by Henmar ,"fl, cl, cl-bs, strings-quar, pno, narr(opt) ",score (40 pp.) ,,ICA,1940,24:00:00,,,,,Nonet,,Nonets
28,"Albright, William ",Quintet for Clarinet and String Quartet ,W. Albright 1987 ,"cl, vln(2), vla, vcl ",score (67 pp.) ,"1996 and 1997 ICA Composition Contest entry, cassette available. ",ICA,5824,,,,,,Quintet,,QuintetsICA Composition ContestRecording Available
29,"Alessio, Felice ",Huit Grandes Études ,Paris: Gaudet ,cl ,score (18 pp.) ,,ICA,3820,,,,,,,,Studies/Method
30,"Alexander, Russell ",The Alexander March Book ,"Oskaloosa, IA: C. L. Barnhouse ",band ,cl book - miniature ,,ICA,4417,,,,,,,,Band
